algorithm,condition,run_index,deadline_miss_ratio,contact_miss_ratio,compute_queue_miss_ratio,policy_miss_ratio,hard_fault_miss_ratio,source_fault_miss_ratio,delivery_latency_p50_s,delivery_latency_p95_s,isl_traffic_bits_per_delivered_tile,control_traffic_bits_per_delivered_tile,control_traffic_ratio,protocol_messages_per_delivered_tile,energy_j_per_delivered_tile,downlink_bits_per_delivered_tile,helper_utilization,active_helper_fraction,compute_load_balance,helper_request_count,helper_acceptance_ratio,state_age_mean_s,state_age_p95_s
ORDI,,0,0.036736641221374045,0.0,0.011450381679389313,0.025286259541984733,0.0,0.0,234.6899012880276,506.866984456908,116048298.49843144,24482.678553739475,0.00020214629977512408,14.360574541852403,1512.6770636438362,5065363.146501064,0.02395982685752321,1.0,0.7269798267876586,0.0,1.0,980.148588410104,2280.0
ORDI,,1,0.09447674418604651,0.0,0.014534883720930232,0.07848837209302326,0.0014534883720930232,0.0,263.7463000498283,724.0969243932764,139228255.56115252,25499.18887105404,0.00017810882965670186,14.21669341894061,1622.0756265380587,3938082.2346927477,0.029111243684803185,1.0,0.8027620187621065,0.0,1.0,1163.2744783306582,2280.0
ORDI,,2,0.025547445255474453,0.0,0.0,0.025547445255474453,0.0,0.0,266.5344525309047,791.412213771829,179325393.30350927,26129.25842696629,0.00013903194232298114,15.27247191011236,1692.5856893569871,8611695.04030568,0.029168274364524925,1.0,0.8435126872501174,0.0,1.0,1169.2696629213483,2160.0
ORDI,,3,0.045185810810810814,0.0,0.001266891891891892,0.04391891891891892,0.0,0.0,239.73850121840223,551.5527134459808,127888368.8920937,24701.452454666076,0.00018507148190627346,13.71030517470146,1496.3391759390422,5581424.510088796,0.02737527859459207,1.0,0.6581175142384471,0.0,1.0,867.1738168951791,2160.0
ORDI,,4,0.06534090909090909,0.0,0.0,0.06534090909090909,0.0,0.0,257.743043979508,835.4703868764936,122049251.64884743,27117.013981762917,0.00020963442251955699,17.54468085106383,1981.7671958801748,7304571.334270469,0.020896179088393935,0.9722222222222222,0.7492597270678398,0.0,1.0,1343.051671732523,3215.9999999999945
ORDI,,5,0.0535,0.0,0.008,0.0455,0.0,0.0,203.18180678335284,673.137373805623,151655943.8738938,32976.8029582673,0.00020477691872248095,22.029582673005812,2410.527860859476,9381751.018655745,0.014363527890122858,1.0,0.6633934886591989,0.0,1.0,995.3090332805072,2160.0
ORDI,,6,0.04640151515151515,0.0,0.0014204545454545455,0.04498106060606061,0.0,0.0,222.5318090489618,593.37628380673,135762350.02423304,33134.58589870904,0.00022976324796078658,22.29046673286991,2485.6502511013828,8449512.372333024,0.013636198257611384,0.9722222222222222,0.6040150366352576,0.0,1.0,1106.1569016881826,1920.0
ORDI,,7,0.024479166666666666,0.0,0.0,0.024479166666666666,0.0,0.0,244.73114786769293,826.5204877958618,139776096.28890315,28645.757608115324,0.00019355535526834164,18.518953550453816,2025.7943319115573,8221656.438740915,0.019235426114161853,0.9166666666666666,0.6892534431716357,0.0,1.0,929.1190603310198,2160.0
direct_downlink,,0,0.4580152671755725,0.0,0.05295801526717557,0.4050572519083969,0.0,0.0,469.28266800842994,2184.9737303551215,0.0,0.0,0.0,0.0,2314.445713748065,48631279.552426964,0.0,0.0,0.0,0.0,1.0,0.0,0.0
direct_downlink,,1,0.44040697674418605,0.0,0.07655038759689922,0.3638565891472868,0.0,0.0,505.2941389500593,1949.1418042180626,0.0,0.0,0.0,0.0,2220.1957029833206,48538847.18094666,0.0,0.0,0.0,0.0,1.0,0.0,0.0
direct_downlink,,2,0.4187956204379562,0.0,0.07025547445255474,0.34854014598540145,0.0,0.0,558.494811079805,1315.4925246842417,0.0,0.0,0.0,0.0,2366.896747146591,58964721.814505585,0.0,0.0,0.0,0.0,1.0,0.0,0.0
direct_downlink,,3,0.3910472972972973,0.0,0.03842905405405406,0.35261824324324326,0.0,0.0,369.6080503290067,2376.700472371471,0.0,0.0,0.0,0.0,1998.2814700665679,47208088.98326418,0.0,0.0,0.0,0.0,1.0,0.0,0.0
direct_downlink,,4,0.3215909090909091,0.0,0.013636363636363636,0.3079545454545455,0.0,0.0,427.95004645599147,2046.9491017733592,0.0,0.0,0.0,0.0,2403.178893173212,52872746.43667311,0.0,0.0,0.0,0.0,1.0,0.0,0.0
direct_downlink,,5,0.449,0.0,0.0665,0.3825,0.0,0.0,301.41106774540094,1301.2028441186333,0.0,0.0,0.0,0.0,3792.521045266575,58707252.694127485,0.0,0.0,0.0,0.0,1.0,0.0,0.0
direct_downlink,,6,0.5075757575757576,0.0,0.10037878787878787,0.4071969696969697,0.0,0.0,717.238250223968,2093.8893449285797,0.0,0.0,0.0,0.0,4421.89836543628,55430232.44537614,0.0,0.0,0.0,0.0,1.0,0.0,0.0
direct_downlink,,7,0.3411458333333333,0.0,0.050520833333333334,0.290625,0.0,0.0,775.9306592615831,2589.2005229026195,0.0,0.0,0.0,0.0,2652.8844992567624,52714947.40391342,0.0,0.0,0.0,0.0,1.0,0.0,0.0
onboard_only,,0,0.5486641221374046,0.0,0.06774809160305344,0.48091603053435117,0.0,0.0,984.448974425417,2325.6792606719487,0.0,0.0,0.0,0.0,2989.2972942487,8032825.339491469,0.011233199053330943,0.5,0.36027680931903727,0.0,1.0,0.0,0.0
onboard_only,,1,0.5915697674418605,0.0,0.09932170542635659,0.48594961240310075,0.006298449612403101,0.0,881.9228286461548,2401.9685178331983,0.0,0.0,0.0,0.0,3292.7879718422128,5802202.075294013,0.012552823530129006,0.5,0.35901933906759026,0.0,1.0,0.0,0.0
onboard_only,,2,0.5593065693430657,0.0,0.08667883211678833,0.4726277372262774,0.0,0.0,996.0544198264597,5630.5409974182385,0.0,0.0,0.0,0.0,3370.6078149269815,13301738.402252084,0.011435876424121328,0.5,0.3345189208186102,0.0,1.0,0.0,0.0
onboard_only,,3,0.4987331081081081,0.0,0.07305743243243243,0.42567567567567566,0.0,0.0,797.076626011145,2416.2253415105806,0.0,0.0,0.0,0.0,2660.1357517764886,8285968.894296082,0.01396699841776206,0.5833333333333334,0.2743198429431678,0.0,1.0,0.0,0.0
onboard_only,,4,0.4909090909090909,0.0,0.022727272727272728,0.4590909090909091,0.00909090909090909,0.0,1242.7848346719256,6456.330506668746,0.0,0.0,0.0,0.0,3432.7510036149347,10925794.054296201,0.01180576445262063,0.4444444444444444,0.28607653594170696,0.0,1.0,0.0,0.0
onboard_only,,5,0.5295,0.0,0.072,0.454,0.0035,0.0,746.25362027148,2963.7709872274972,0.0,0.0,0.0,0.0,4666.85058116525,13395943.21838402,0.00786677284063578,0.4722222222222222,0.28166850373676283,0.0,1.0,0.0,0.0
onboard_only,,6,0.5596590909090909,0.0,0.10795454545454546,0.45170454545454547,0.0,0.0,886.0748668773376,6037.908412587039,0.0,0.0,0.0,0.0,5163.268751685549,14503459.716067135,0.006351244282280268,0.5277777777777778,0.20341050442607922,0.0,1.0,0.0,0.0
onboard_only,,7,0.4817708333333333,0.0,0.05520833333333333,0.4265625,0.0,0.0,1126.902615510262,4643.265323708607,0.0,0.0,0.0,0.0,3615.7195421236943,12138464.951746343,0.010702493258779243,0.4722222222222222,0.33074577186944504,0.0,1.0,0.0,0.0
seco_adapted,,0,0.05438931297709924,0.0,0.009064885496183206,0.04532442748091603,0.0,0.0,250.2367675002315,923.4738384837895,186157154.38375476,101207.5721493441,0.0005298406278766431,26.109989909182644,1540.7995937436663,4857967.568930108,0.023849266881078177,1.0,0.7581090048580827,6915.0,1.0,922.401614530777,2160.0
seco_adapted,,1,0.1623062015503876,0.0,0.020348837209302327,0.12645348837209303,0.015503875968992248,0.0,278.3450265999418,1071.5498813641334,189537374.4740906,97509.79294389821,0.0005040478687602492,26.754193175245806,1739.3258278664996,3916063.1601806832,0.027737656376342568,1.0,0.7914908230508617,5925.0,1.0,991.7177559282823,2280.0
