condition,baseline,algorithm,metric,n,mean_diff,ci95_lo,ci95_hi,effect_size_dz,paired_t_pvalue,wilcoxon_pvalue
,ORDI,direct_downlink,deadline_miss_ratio,8,0.36698867865902696,0.32059043072175225,0.40525367963979597,5.70109302509276,8.577300985111912e-07,0.0078125
,ORDI,direct_downlink,contact_miss_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,direct_downlink,compute_queue_miss_ratio,8,0.054069538047687805,0.03849279877543326,0.07102404867383867,2.144273234298729,0.0005083912596363575,0.0078125
,ORDI,direct_downlink,policy_miss_ratio,8,0.3131008266578508,0.28103232276605405,0.34204905407258945,6.656360748152379,2.963972335698871e-07,0.0078125
,ORDI,direct_downlink,hard_fault_miss_ratio,8,-0.0001816860465116279,-0.0007267441860465116,0.0,-0.3535533905932737,0.3506166628202074,1.0
,ORDI,direct_downlink,source_fault_miss_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,direct_downlink,delivery_latency_p50_s,8,274.03909116094576,187.17265423474473,397.7583123853865,1.7078267080300786,0.0018984559597487892,0.0078125
,ORDI,direct_downlink,delivery_latency_p95_s,8,1294.3896221249233,931.8760142267685,1574.987061250888,2.5963769475279954,0.0001567787921867246,0.0078125
,ORDI,direct_downlink,isl_traffic_bits_per_delivered_tile,8,-138966744.76138306,-155352177.15743035,-128909732.42171018,-7.030400166304423,2.034162814871026e-07,0.0078125
,ORDI,direct_downlink,control_traffic_bits_per_delivered_tile,8,-27835.842344160057,-30497.358496821904,-25959.3705909706,-7.982507052293101,8.463599736093288e-08,0.0078125
,ORDI,direct_downlink,control_traffic_ratio,8,-0.00019276106226653083,-0.00020700160955672213,-0.0001716996991821551,-7.178368769980873,1.7620787285727723e-07,0.0078125
,ORDI,direct_downlink,protocol_messages_per_delivered_tile,8,-17.242966106625026,-19.731704728763326,-15.275118425989685,-4.979477741888347,2.1567448992753026e-06,0.0078125
,ORDI,direct_downlink,energy_j_per_delivered_tile,8,867.8606552308574,606.2317733619163,1324.7099636650482,1.66075435382173,0.002215444610838802,0.0078125
,ORDI,direct_downlink,downlink_bits_per_delivered_tile,8,45814257.55195564,44072036.25252436,47848118.08592019,15.627862186497227,7.921930121297953e-10,0.0078125
,ORDI,direct_downlink,helper_utilization,8,-0.022218244356466677,-0.025987415442135633,-0.018041278727038958,-3.567990939085381,2.014275832119872e-05,0.0078125
,ORDI,direct_downlink,active_helper_fraction,8,-0.9826388888888888,-0.9965277777777779,-0.9513888888888888,-33.35186984596547,3.963295972859554e-12,0.0078125
,ORDI,direct_downlink,compute_load_balance,8,-0.7171617178215327,-0.7725821668008277,-0.6694481766297664,-9.00715096669801,3.667348151366867e-08,0.0078125
,ORDI,direct_downlink,helper_request_count,8,0.0,nan,nan,0.0,nan,nan
,ORDI,direct_downlink,helper_acceptance_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,direct_downlink,state_age_mean_s,8,-1069.1879016986904,-1187.5539070588557,-979.6843445202312,-6.880075319420911,2.360779503297686e-07,0.0078125
,ORDI,direct_downlink,state_age_p95_s,8,-2291.999999999999,-2717.9999999999973,-2130.0,-5.883990098512482,6.9107418655947e-07,0.0078125
,ORDI,onboard_only,deadline_miss_ratio,8,0.4835555437248946,0.4585623039069743,0.5060649798132464,13.195146248289422,2.5780260449563204e-09,0.0078125
,ORDI,onboard_only,contact_miss_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,onboard_only,compute_queue_miss_ratio,8,0.06850295015701455,0.05004438568266188,0.08332174622581061,2.703563601853186,0.00012146561689543966,0.0078125
,ORDI,onboard_only,policy_miss_ratio,8,0.41287310977647773,0.39905635420366015,0.432765235569694,16.22127303687037,6.10773228691919e-10,0.0078125
,ORDI,onboard_only,hard_fault_miss_ratio,8,0.002179483791402396,0.0004375,0.005151074700493305,0.6432259646083731,0.11168012426782949,0.25
,ORDI,onboard_only,source_fault_miss_ratio,8,0.0,nan,nan,0.0,nan,nan
,ORDI,onboard_only,delivery_latency_p50_s,8,716.0777279341879,630.2577155238977,836.2635703901124,4.612419234810379,3.6222439420115884e-06,0.0078125
,ORDI,onboard_only,delivery_latency_p95_s,8,3421.6569974091444,2360.4799653748228,4580.550446461695,2.0039842054908266,0.0007600347776699444,0.0078125
,ORDI,onboard_only,isl_traffic_bits_per_delivered_tile,8,-138966744.76138306,-155352177.15743035,-128909732.42171018,-7.030400166304423,2.034162814871026e-07,0.0078125
,ORDI,onboard_only,control_traffic_bits_per_delivered_tile,8,-27835.842344160057,-30497.358496821904,-25959.3705909706,-7.982507052293101,8.463599736093288e-08,0.0078125
,ORDI,onboard_only,control_traffic_ratio,8,-0.00019276106226653083,-0.00020700160955672213,-0.0001716996991821551,-7.178368769980873,1.7620787285727723e-07,0.0078125
,ORDI,onboard_only,protocol_messages_per_delivered_tile,8,-17.242966106625026,-19.731704728763326,-15.275118425989685,-4.979477741888347,2.1567448992753026e-06,0.0078125
