algorithm,sample_count,deadline_miss_ratio,hard_fault_miss_ratio,source_fault_miss_ratio,fault_event_count,fault_target_minutes,isl_traffic_bits_per_delivered_tile,energy_j_per_delivered_tile,n_replicas_avg,deadline_miss_ratio_std,hard_fault_miss_ratio_std,source_fault_miss_ratio_std,fault_event_count_std,fault_target_minutes_std,isl_traffic_bits_per_delivered_tile_std,energy_j_per_delivered_tile_std,n_replicas_avg_std
ORDI@fault=0.00,4,0.047309143817755944,0.0,0.0,0.0,0.0,141270007.5830282,1546.5506672106656,1.0300060783236282,0.022939483979663593,0.0,0.0,0.0,0.0,31189280.838913854,101.96578950942022,0.03466229647678952
seco_adapted@fault=0.00,4,0.07960822859463365,0.0,0.0,0.0,0.0,197476839.03897494,1600.2010188730392,0.9203917714053663,0.028288298932522857,0.0,0.0,0.0,0.0,17871695.22359983,109.57467656887593,0.02828829893252284
full_replication@fault=0.00,4,0.20291347450263,0.0,0.0,0.0,0.0,65005423.35114648,1990.890342067967,1.5329893946138413,0.030818012698504166,0.0,0.0,0.0,0.0,7803070.038546397,164.35765896257752,0.06356423852722055
onboard_only@fault=0.00,4,0.5479937793545089,0.0,0.0,0.0,0.0,0.0,3001.002090039876,0.45200622064549106,0.03626135308731604,0.0,0.0,0.0,0.0,0.0,319.72684700350163,0.036261353087316026
ORDI@fault=0.02,4,0.05048666036842646,0.0003633720930232558,0.0,5.0,19.0,140622579.06379673,1580.919388869481,1.030452868051737,0.030409724087908208,0.0007267441860465116,0.0,3.4641016151377544,11.489125293076057,27482766.370376647,93.04842097023018,0.032874291190104626
seco_adapted@fault=0.02,4,0.09268307669855153,0.003875968992248062,0.0,5.0,19.0,195757755.8006215,1651.5625605717385,0.9073169233014484,0.04936041064026888,0.007751937984496124,0.0,3.4641016151377544,11.489125293076057,18542749.9494091,115.45107072537897,0.04936041064026884
full_replication@fault=0.02,4,0.20000649775844395,0.0,0.0,5.0,19.0,63829157.001123525,2011.9803721730368,1.520998115544074,0.02612256615862616,0.0,0.0,3.4641016151377544,11.489125293076057,9527038.872725613,155.97923246075808,0.08386786336375048
onboard_only@fault=0.02,4,0.5495683917576097,0.0015746124031007752,0.0,5.0,19.0,0.0,3078.2072081985957,0.4504316082423903,0.038488056282985426,0.00314922480620155,0.0,3.4641016151377544,11.489125293076057,0.0,323.64164050921386,0.038488056282985406
ORDI@fault=0.10,4,0.0573324189524114,0.001314520025155896,0.0,34.5,132.5,142926644.1420338,1710.3271107568419,1.0244053183807116,0.03136370815466454,0.0014529534403930364,0.0,2.6457513110645907,12.476644848141934,31498348.737850673,205.996420081423,0.040277436345044194
seco_adapted@fault=0.10,4,0.10587810411240264,0.009509630099478956,0.0,34.5,132.5,192476000.73868442,1797.911533798006,0.8941218958875974,0.04417298624224594,0.0077229736743476725,0.0,2.6457513110645907,12.476644848141934,12764671.120627543,237.7044751326344,0.04417298624224592
full_replication@fault=0.10,4,0.20612246749779373,0.0018248175182481751,0.0,34.5,132.5,64797472.6783231,2170.2697982173954,1.5044790655285687,0.029167133782484936,0.0036496350364963502,0.0,2.6457513110645907,12.476644848141934,9018690.410057018,276.1819245825562,0.09062129378390082
onboard_only@fault=0.10,4,0.5495683917576097,0.0015746124031007752,0.0,34.5,132.5,0.0,3343.607228087386,0.4504316082423903,0.038488056282985426,0.00314922480620155,0.0,2.6457513110645907,12.476644848141934,0.0,545.4717364561905,0.038488056282985406
